,,,,,,,,,,,,,,,,,,,,
Theme,Indicator Name,Source of Indicator,Data set name,Group,API,Chart type 1,Filter 1 for chart type 1,Filter type for chart type 1,Filter 2 for chart type 1,Filter type for chart type 1,Chart type 2,Filter 1 for chart type 2,Filter type for chart type 2,Filter 2 for chart type 2,Filter type for chart type 2,Chart type 3,Filter 1 for chart type 3,Filter type for chart type 3,Filter 2 for chart type 3,Filter type for chart type 3
Education,"Number of teachers by management, gender and classes taught",,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Stacked column bar - colour by gender,Gender,Multiple value dropdown,Type of management ; classes taught,single value dropdown,Pie chart - color by gender,Classes taught ; year,single value dropdown,Type of management,single value dropdown,Line chart,Gender,Multiple value dropdown,Class taught ; type of management,single value dropdown
Education,Percentage Share of Teachers by School Category,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Tree map - color by level of education,Year,single value dropdown,,,Column bar,year,single value dropdown,Level of education,Multiple value dropdown,Line chart - color by level of education,level of education,Multiple value dropdown,,
Education,Pupil Teacher Ratio,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Lollipop chart,No filters required,,,,Line chart,No filters required,,,,Column chart,No filters required,,,
Education,"Details on Educational Parameters by Management- number of schools, Number of teachers",,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Area chart,type of management,single value dropdown,No. of schools / teachers,single value dropdown,Grouped column chart,type of management,Multiple value dropdown,No. of schools / teachers,Multiple value dropdown,line chart,No. of schools / teachers,Multiple value dropdown,type of management,single value dropdown
Education,"Details on Educational Parameters by Management- Percent of Schools having functional electricity, Functional toilets, Functional Toilets- Girls & Boys, Functional CWSN friendly toilets, Kitchen Garden, Solar Panel",,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,line chart,type of management,single value dropdown,parameters,single value dropdown,bar graph,type of management,Multiple value dropdown,parameters ; years,single value dropdown,Column chart,parameters,Multiple value dropdown,type of management ; years,single value dropdown
Education,Total number of School,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Area chart,No filters required,,,,Lollipop chart,No filters required,,,,Line chart,No filters required,,,
Education,Number of Schools having infrastructure facility,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Column bar,Year,single value dropdown,Infrastructure facility,Multiple value dropdown,Line chart,Infrastructure facility,Multiple value dropdown,,,Lollipop chart,Infrastructure facility,Single value dropdown,,
Education,"Details on Educational Parameters by Management- total enrollment, Enrollment (Girls), Enrollment (Boys),",,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Grouped column bar,Gender ; Type of management,Multiple value dropdown,Year,single value dropdown,Line chart,Gender,Multiple value dropdown,Type of management,single value dropdown,Heat map - color by type of management,Gender,Single value dropdown,Year,single value dropdown
Education,Adjusted Net Enrolment Rate (ANER),,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line chart,Gender,Multiple value dropdown,Level of education,single value dropdown,Lollipop chart,Gender ; level of education,Multiple value dropdown,Year,single value dropdown,Grouped column chart,Gender ; level of education,Multiple value dropdown,Year,single value dropdown
Education,Age-Specific Enrolment Rate (ASER),,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Grouped column bar,Gender ; Age group,Multiple value dropdown,Year,single value dropdown,Line chart,Age group,Multiple value dropdown,Gender,single value dropdown,Grouped Bar graph,Gender ; Age group,Multiple value dropdown,Year,single value dropdown
